District_name,Total_House_with_Car,Total_House_with_Bicycle,Total_House_with_Motorcycle
Solapur,28219.0,,
Satara,36046.0,246949.0,195582.0
Ratnagiri,15191.0,49177.0,61559.0
Sindhudurg,,39669.0,37159.0
Kolhapur,49081.0,383946.0,283565.0
Sangli,29515.0,335852.0,190760.0
Adilabad,8338.0,150289.0,
Nizamabad,10088.0,212631.0,102049.0
Karimnagar,14175.0,406211.0,192965.0
Medak,14362.0,232114.0,119276.0
Hyderabad,124106.0,229561.0,439890.0
Rangareddy,125225.0,271193.0,498040.0
Mahbubnagar,12615.0,151754.0,121553.0
Nalgonda,18927.0,286559.0,143010.0
Warangal,15727.0,311837.0,139404.0
Khammam,11887.0,267852.0,115078.0
Srikakulam,5264.0,180824.0,64087.0
Vizianagaram,5002.0,168297.0,61858.0
Visakhapatnam,,297276.0,241192.0
East Godavari,25381.0,779052.0,232073.0
West Godavari,14687.0,605463.0,182698.0
Krishna,27969.0,525079.0,212111.0
Guntur,17424.0,454586.0,190079.0
Prakasam,9071.0,226045.0,105940.0
Sri Potti Sriramulu Nellore,11661.0,162980.0,108096.0
Y.S.R.,7558.0,130524.0,98736.0
Kurnool,10622.0,271815.0,118153.0
Anantapur,9915.0,206433.0,144214.0
Chittoor,16296.0,225856.0,186568.0
Belgaum,35104.0,519937.0,228887.0
Bagalkot,,153879.0,69279.0
Bidar,9724.0,102869.0,44813.0
Raichur,11104.0,120959.0,70603.0
Koppal,6211.0,97577.0,45100.0
Gadag,5205.0,73191.0,30957.0
Dharwad,21127.0,111313.0,91208.0
Uttara Kannada,13152.0,122891.0,73848.0
Haveri,5681.0,117943.0,47577.0
Bellary,14163.0,164714.0,111250.0
Chitradurga,7425.0,,55959.0
Davanagere,15449.0,146389.0,90291.0
Shimoga,20781.0,165796.0,111532.0
Udupi,21349.0,79637.0,65169.0
Chikmagalur,15446.0,76379.0,59192.0
Tumkur,14929.0,276586.0,137806.0
Bangalore,,545433.0,1053876.0
Mandya,8188.0,192330.0,96273.0
Hassan,14979.0,138247.0,97603.0
Dakshina Kannada,,69944.0,97610.0
Kodagu,16963.0,20075.0,22161.0
Mysore,40420.0,252546.0,211066.0
Chamarajanagar,3122.0,95957.0,36601.0
Gulbarga,12872.0,118463.0,73797.0
Yadgir,4365.0,37532.0,23524.0
Kolar,9208.0,,85198.0
Chikkaballapura,6620.0,96837.0,57408.0
Bangalore Rural,10389.0,93908.0,69005.0
Ramanagara,5537.0,82389.0,49046.0
North Goa,,41713.0,101378.0
South Goa,35031.0,37799.0,82436.0
Lakshadweep,245.0,,4109.0
Kasaragod,19438.0,27736.0,34267.0
Kannur,44108.0,66300.0,76530.0
Wayanad,13027.0,15359.0,22721.0
Kozhikode,54277.0,94227.0,149330.0
Malappuram,59145.0,96908.0,138096.0
Palakkad,43458.0,101999.0,145549.0
Thrissur,84016.0,248933.0,220583.0
Ernakulam,135307.0,250078.0,322394.0
Idukki,21976.0,19378.0,35855.0
Kottayam,73096.0,76041.0,
Alappuzha,42404.0,229196.0,144891.0
Pathanamthitta,43382.0,56968.0,80551.0
Kollam,58867.0,157906.0,144080.0
Thiruvananthapuram,96456.0,136964.0,220675.0
Thiruvallur,54505.0,374923.0,363741.0
Chennai,146388.0,409796.0,515581.0
Kancheepuram,68427.0,425865.0,418526.0
Vellore,20393.0,491133.0,286002.0
Tiruvannamalai,7851.0,309133.0,138956.0
Viluppuram,13030.0,351418.0,184050.0
Salem,30660.0,441388.0,352121.0
Namakkal,18550.0,262313.0,212434.0
Erode,,368604.0,288543.0
The Nilgiris,9543.0,11234.0,
Dindigul,15538.0,222834.0,147737.0
Karur,10648.0,153941.0,117119.0
Tiruchirappalli,28571.0,362952.0,234290.0
Perambalur,2259.0,59863.0,32178.0
Ariyalur,2937.0,104900.0,40913.0
Cuddalore,19828.0,343988.0,178515.0
Nagapattinam,9042.0,219886.0,86939.0
Thiruvarur,6790.0,189906.0,72916.0
Thanjavur,17231.0,343328.0,161750.0
Pudukkottai,7882.0,209024.0,110324.0
Sivaganga,8222.0,172619.0,91250.0
Madurai,30852.0,325803.0,228557.0
Theni,6607.0,99044.0,58034.0
Virudhunagar,9845.0,282826.0,119486.0
Ramanathapuram,5524.0,125445.0,49605.0
Thoothukkudi,14650.0,238770.0,124851.0
Tirunelveli,24290.0,379446.0,195295.0
Kanniyakumari,21577.0,122491.0,115092.0
Dharmapuri,5843.0,164521.0,107968.0
Krishnagiri,13381.0,,150122.0
Coimbatore,87211.0,353990.0,445588.0
Tiruppur,43477.0,290774.0,333579.0
Yanam,226.0,6523.0,2571.0
PONDICHERRY,13245.0,120365.0,116241.0
Mahe,858.0,868.0,
Karaikal,2550.0,27503.0,19793.0
Nicobars,193.0,4304.0,1991.0
North  AND Middle Andaman,910.0,,3550.0
South Andaman,5323.0,7692.0,17535.0
